epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,104.586,1.55266,2.68501,1.03696,1.11022,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.0015743,0.0015743,0.0015743
88,105.769,1.47051,2.45046,0.92347,1.08427,0.35184,0.06818,0.05686,0.02314,0.13187,0.03977,0.01741,0.00406,nan,nan,nan,nan,0.00156935,0.00156935,0.00156935
89,106.926,1.49431,2.53512,0.96475,1.0503,0.35184,0.06818,0.05686,0.02314,0.13187,0.03977,0.01741,0.00406,nan,nan,nan,nan,0.0015644,0.0015644,0.0015644
90,108.113,1.41782,2.43573,0.98098,1.06536,0.21679,0.125,0.10228,0.0406,0.20572,0.06818,0.03809,0.00898,3.0007,30.4031,3.74264,2.37874,0.00155945,0.00155945,0.00155945
91,109.255,1.4046,2.38102,0.95232,1.06429,0.21679,0.125,0.10228,0.0406,0.20572,0.06818,0.03809,0.00898,3.0007,30.4031,3.74264,2.37874,0.0015545,0.0015545,0.0015545
92,110.459,1.23345,2.172,0.94451,1.0369,0.53519,0.52273,0.41157,0.22749,0.48428,0.47159,0.34534,0.14212,1.79819,6.04276,1.73255,1.3005,0.00154955,0.00154955,0.00154955
93,111.62,1.28062,2.18178,0.86041,1.0098,0.53519,0.52273,0.41157,0.22749,0.48428,0.47159,0.34534,0.14212,1.79819,6.04276,1.73255,1.3005,0.0015446,0.0015446,0.0015446
94,112.807,1.34198,2.42552,1.03232,1.09669,0.58233,0.57037,0.57886,0.30094,0.66033,0.50568,0.55055,0.23748,1.6318,3.43384,1.35718,1.24703,0.00153965,0.00153965,0.00153965
95,114.062,1.34194,2.23758,0.89787,1.03906,0.58233,0.57037,0.57886,0.30094,0.66033,0.50568,0.55055,0.23748,1.6318,3.43384,1.35718,1.24703,0.0015347,0.0015347,0.0015347
96,115.407,1.29421,2.14293,0.88201,1.02314,0.61907,0.64637,0.64724,0.33534,0.70229,0.5625,0.61458,0.2784,1.61609,3.08344,1.23667,1.20299,0.00152975,0.00152975,0.00152975
97,116.659,1.26677,2.17043,0.90874,1.05479,0.61907,0.64637,0.64724,0.33534,0.70229,0.5625,0.61458,0.2784,1.61609,3.08344,1.23667,1.20299,0.0015248,0.0015248,0.0015248
98,117.945,1.2612,2.20115,0.91711,1.04881,0.61737,0.69673,0.66687,0.34985,0.70036,0.57955,0.65039,0.2802,1.57194,3.0485,1.27385,1.18468,0.00151985,0.00151985,0.00151985
99,119.218,1.33108,2.15857,0.84609,1.02666,0.61737,0.69673,0.66687,0.34985,0.70036,0.57955,0.65039,0.2802,1.57194,3.0485,1.27385,1.18468,0.0015149,0.0015149,0.0015149
100,120.498,1.34755,2.36812,0.95835,1.0402,0.63438,0.56818,0.61213,0.32027,0.6086,0.53409,0.55983,0.27246,1.65175,3.12482,1.25006,1.18716,0.00150995,0.00150995,0.00150995
101,121.679,1.39148,2.35928,0.91259,1.01251,0.63438,0.56818,0.61213,0.32027,0.6086,0.53409,0.55983,0.27246,1.65175,3.12482,1.25006,1.18716,0.001505,0.001505,0.001505
102,122.868,1.34745,2.16168,0.86491,1.01142,0.69034,0.50568,0.57361,0.31112,0.6291,0.47159,0.50268,0.2641,1.61574,3.32536,1.29842,1.16229,0.00150005,0.00150005,0.00150005
103,124.06,1.29026,2.32677,0.88998,1.00932,0.69034,0.50568,0.57361,0.31112,0.6291,0.47159,0.50268,0.2641,1.61574,3.32536,1.29842,1.16229,0.0014951,0.0014951,0.0014951
104,125.277,1.3409,2.16742,0.85051,1.00686,0.62805,0.54545,0.56837,0.30685,0.60877,0.48627,0.50492,0.22003,1.59991,3.32684,1.33322,1.17514,0.00149015,0.00149015,0.00149015
105,126.464,1.28118,2.25255,0.97123,1.05558,0.62805,0.54545,0.56837,0.30685,0.60877,0.48627,0.50492,0.22003,1.59991,3.32684,1.33322,1.17514,0.0014852,0.0014852,0.0014852
106,127.712,1.29544,2.07498,0.93706,1.02233,0.63037,0.60227,0.63192,0.34834,0.6409,0.53746,0.57848,0.25813,1.51708,2.92563,1.10266,1.15132,0.00148025,0.00148025,0.00148025
107,128.877,1.27672,2.34524,0.89039,1.03516,0.63037,0.60227,0.63192,0.34834,0.6409,0.53746,0.57848,0.25813,1.51708,2.92563,1.10266,1.15132,0.0014753,0.0014753,0.0014753
108,130.085,1.27973,2.24367,0.8762,1.03939,0.63386,0.60987,0.63128,0.34073,0.62056,0.58541,0.58788,0.25812,1.56933,3.08447,1.16827,1.16696,0.00147035,0.00147035,0.00147035
109,131.254,1.17434,2.16232,0.84716,1.00081,0.63386,0.60987,0.63128,0.34073,0.62056,0.58541,0.58788,0.25812,1.56933,3.08447,1.16827,1.16696,0.0014654,0.0014654,0.0014654
110,132.471,1.30459,2.24541,0.8385,0.99372,0.6297,0.60795,0.62948,0.34123,0.61079,0.59659,0.60354,0.26248,1.55586,3.04457,1.37137,1.19064,0.00146045,0.00146045,0.00146045
111,133.634,1.36916,2.22474,0.89278,1.0175,0.6297,0.60795,0.62948,0.34123,0.61079,0.59659,0.60354,0.26248,1.55586,3.04457,1.37137,1.19064,0.0014555,0.0014555,0.0014555
112,134.877,1.35261,2.20336,0.8506,1.02641,0.02533,0.21591,0.03436,0.01161,0.01,0.08523,0.01059,0.00227,3.58888,7.72337,2.69716,1.93603,0.00145055,0.00145055,0.00145055
113,136.078,1.22198,2.1538,0.92766,1.01021,0.02533,0.21591,0.03436,0.01161,0.01,0.08523,0.01059,0.00227,3.58888,7.72337,2.69716,1.93603,0.0014456,0.0014456,0.0014456
114,137.323,1.40631,2.61126,1.11016,1.10036,0.03067,0.26136,0.03233,0.00861,0.00933,0.07955,0.00579,0.00105,3.28512,6.21191,2.68056,1.80282,0.00144065,0.00144065,0.00144065
115,138.556,1.29016,2.144,0.89778,1.00654,0.03067,0.26136,0.03233,0.00861,0.00933,0.07955,0.00579,0.00105,3.28512,6.21191,2.68056,1.80282,0.0014357,0.0014357,0.0014357
116,139.781,1.32816,2.20048,0.90459,1.0087,0.57418,0.60227,0.6062,0.31431,0.53085,0.55682,0.50835,0.18629,1.54836,3.0922,1.1064,1.13792,0.00143075,0.00143075,0.00143075
117,141.312,1.29594,2.21909,0.97153,1.06493,0.57418,0.60227,0.6062,0.31431,0.53085,0.55682,0.50835,0.18629,1.54836,3.0922,1.1064,1.13792,0.0014258,0.0014258,0.0014258
118,143.454,1.26477,2.06897,0.86048,1.00518,0.66814,0.57386,0.62234,0.32798,0.62845,0.53977,0.56019,0.24634,1.54277,2.67631,1.18818,1.1551,0.00142085,0.00142085,0.00142085
119,145.315,1.29165,2.12908,0.82327,0.98703,0.66814,0.57386,0.62234,0.32798,0.62845,0.53977,0.56019,0.24634,1.54277,2.67631,1.18818,1.1551,0.0014159,0.0014159,0.0014159
120,147.286,1.28758,2.11329,0.83068,0.99185,0.56869,0.63068,0.61258,0.32692,0.60569,0.53241,0.5454,0.23778,1.55215,2.71661,1.24671,1.14621,0.00141095,0.00141095,0.00141095
121,149.288,1.30534,2.16743,0.83188,0.98678,0.56869,0.63068,0.61258,0.32692,0.60569,0.53241,0.5454,0.23778,1.55215,2.71661,1.24671,1.14621,0.001406,0.001406,0.001406
122,151.368,1.19124,2.22693,0.88876,1.03061,0.62023,0.59659,0.6178,0.3436,0.59016,0.57386,0.58318,0.27552,1.50944,2.6232,1.15927,1.14583,0.00140105,0.00140105,0.00140105
123,153.43,1.18184,1.90794,0.76153,0.95436,0.62023,0.59659,0.6178,0.3436,0.59016,0.57386,0.58318,0.27552,1.50944,2.6232,1.15927,1.14583,0.0013961,0.0013961,0.0013961
124,155.555,1.14688,2.00202,0.78296,0.9792,0.62966,0.66477,0.6756,0.35499,0.61857,0.64773,0.64312,0.29126,1.53064,2.61749,1.10855,1.15035,0.00139115,0.00139115,0.00139115
125,157.602,1.12441,1.86026,0.76243,0.98019,0.62966,0.66477,0.6756,0.35499,0.61857,0.64773,0.64312,0.29126,1.53064,2.61749,1.10855,1.15035,0.0013862,0.0013862,0.0013862
126,159.993,1.19427,1.93556,0.75647,1.00053,0.60597,0.61364,0.64386,0.33216,0.58199,0.57955,0.59606,0.24696,1.58641,2.86572,1.04654,1.1724,0.00138125,0.00138125,0.00138125
127,162.102,1.23687,2.02041,0.82325,0.97909,0.60597,0.61364,0.64386,0.33216,0.58199,0.57955,0.59606,0.24696,1.58641,2.86572,1.04654,1.1724,0.0013763,0.0013763,0.0013763
128,164.305,1.16867,1.92658,0.77067,0.98625,0.64467,0.63068,0.61695,0.32894,0.65307,0.59659,0.5944,0.23668,1.52388,2.98288,1.11561,1.14164,0.00137135,0.00137135,0.00137135
129,166.196,1.47928,2.36425,0.90517,1.00202,0.64467,0.63068,0.61695,0.32894,0.65307,0.59659,0.5944,0.23668,1.52388,2.98288,1.11561,1.14164,0.0013664,0.0013664,0.0013664
130,168.352,1.32976,2.20372,0.8854,1.02761,0.62161,0.59659,0.57857,0.31353,0.61959,0.59091,0.54996,0.20701,1.49496,2.95049,1.04783,1.14024,0.00136145,0.00136145,0.00136145
131,170.29,1.18182,2.09951,0.87214,0.98949,0.62161,0.59659,0.57857,0.31353,0.61959,0.59091,0.54996,0.20701,1.49496,2.95049,1.04783,1.14024,0.0013565,0.0013565,0.0013565
132,172.321,1.20093,1.99206,0.83754,0.98022,0.63347,0.5625,0.58362,0.31305,0.6548,0.52841,0.54145,0.21055,1.49724,2.90769,0.99119,1.12395,0.00135155,0.00135155,0.00135155
133,174.29,1.23059,2.10149,0.82349,0.97958,0.63347,0.5625,0.58362,0.31305,0.6548,0.52841,0.54145,0.21055,1.49724,2.90769,0.99119,1.12395,0.0013466,0.0013466,0.0013466
134,176.446,1.20883,2.09643,0.88593,0.98452,0.72757,0.55114,0.62263,0.34103,0.67906,0.55682,0.59033,0.25297,1.53164,2.72618,0.96726,1.14794,0.00134165,0.00134165,0.00134165
135,178.509,1.15606,1.92892,0.74347,0.96107,0.72757,0.55114,0.62263,0.34103,0.67906,0.55682,0.59033,0.25297,1.53164,2.72618,0.96726,1.14794,0.0013367,0.0013367,0.0013367
136,180.618,1.13248,1.89495,0.76759,0.95863,0.68643,0.58523,0.64747,0.33952,0.6901,0.5625,0.61673,0.27529,1.54802,2.61105,1.06368,1.1358,0.00133175,0.00133175,0.00133175
137,182.555,1.37196,2.31549,1.01542,1.02219,0.68643,0.58523,0.64747,0.33952,0.6901,0.5625,0.61673,0.27529,1.54802,2.61105,1.06368,1.1358,0.0013268,0.0013268,0.0013268
