epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,53.8632,1.12591,0.98146,1.0328,0.71549,0.52841,0.60367,0.35776,1.46744,1.16511,1.21875,0.00154955,0.00154955,0.00154955
93,54.4137,1.17185,0.93676,1.0345,0.71549,0.52841,0.60367,0.35776,1.46744,1.16511,1.21875,0.0015446,0.0015446,0.0015446
94,54.9805,1.18436,1.03511,1.08016,0.67499,0.50741,0.5929,0.33692,1.45681,1.28355,1.20218,0.00153965,0.00153965,0.00153965
95,55.552,1.1865,0.91579,1.03114,0.67499,0.50741,0.5929,0.33692,1.45681,1.28355,1.20218,0.0015347,0.0015347,0.0015347
96,56.1174,1.09725,0.89163,1.00582,0.73201,0.46591,0.58386,0.34682,1.39189,1.24435,1.16576,0.00152975,0.00152975,0.00152975
97,56.6981,1.15989,0.91206,1.06875,0.73201,0.46591,0.58386,0.34682,1.39189,1.24435,1.16576,0.0015248,0.0015248,0.0015248
98,57.251,1.1516,0.94017,1.06135,0.60241,0.53376,0.58263,0.35272,1.41026,1.23824,1.1624,0.00151985,0.00151985,0.00151985
99,57.7975,1.14836,0.88108,1.02574,0.60241,0.53376,0.58263,0.35272,1.41026,1.23824,1.1624,0.0015149,0.0015149,0.0015149
100,58.3501,1.18061,0.93806,1.04893,0.59761,0.59091,0.60683,0.352,1.43663,1.21946,1.17435,0.00150995,0.00150995,0.00150995
101,58.8854,1.21723,0.95849,1.0428,0.59761,0.59091,0.60683,0.352,1.43663,1.21946,1.17435,0.001505,0.001505,0.001505
102,59.4372,1.19909,0.93213,1.01875,0.59213,0.60215,0.60644,0.35372,1.45495,1.1472,1.18205,0.00150005,0.00150005,0.00150005
103,59.9886,1.14678,0.90385,1.02997,0.59213,0.60215,0.60644,0.35372,1.45495,1.1472,1.18205,0.0014951,0.0014951,0.0014951
104,60.5527,1.19369,0.89636,1.01373,0.63977,0.63573,0.63168,0.36399,1.44239,1.10978,1.20395,0.00149015,0.00149015,0.00149015
105,61.0891,1.15234,1.01976,1.04827,0.63977,0.63573,0.63168,0.36399,1.44239,1.10978,1.20395,0.0014852,0.0014852,0.0014852
106,61.6731,1.12499,0.9614,1.00977,0.68303,0.63636,0.6589,0.37225,1.41213,1.0851,1.18258,0.00148025,0.00148025,0.00148025
107,62.22,1.18159,0.94783,1.05307,0.68303,0.63636,0.6589,0.37225,1.41213,1.0851,1.18258,0.0014753,0.0014753,0.0014753
108,62.7762,1.1532,0.94796,1.03948,0.64337,0.56376,0.63907,0.36473,1.412,1.20939,1.15659,0.00147035,0.00147035,0.00147035
109,63.3296,1.01518,0.86728,1.00532,0.64337,0.56376,0.63907,0.36473,1.412,1.20939,1.15659,0.0014654,0.0014654,0.0014654
110,63.9019,1.15801,0.89113,1.01571,0.64772,0.5328,0.64083,0.37022,1.39891,1.24717,1.15846,0.00146045,0.00146045,0.00146045
111,64.4409,1.14554,0.94553,1.01902,0.64772,0.5328,0.64083,0.37022,1.39891,1.24717,1.15846,0.0014555,0.0014555,0.0014555
112,65.0243,1.18399,0.94063,1.04403,0.66559,0.61069,0.65064,0.38574,1.43344,1.07485,1.19993,0.00145055,0.00145055,0.00145055
113,65.6076,1.11315,0.90142,1.02253,0.66559,0.61069,0.65064,0.38574,1.43344,1.07485,1.19993,0.0014456,0.0014456,0.0014456
114,66.1723,1.26215,1.0645,1.12553,0.6576,0.63636,0.63464,0.38563,1.36616,1.09094,1.1659,0.00144065,0.00144065,0.00144065
115,66.7413,1.13059,0.90746,1.00199,0.6576,0.63636,0.63464,0.38563,1.36616,1.09094,1.1659,0.0014357,0.0014357,0.0014357
