epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1360.1,1.07957,1.97927,0.9741,1.06797,0.71071,0.50713,0.63756,0.40306,0.71421,0.50441,0.62204,0.35968,1.27649,2.42309,1.0914,1.19324,0.00160895,0.00160895,0.00160895
81,1383.74,1.06724,1.98769,0.97758,1.09032,0.60577,0.55684,0.64379,0.41119,0.63803,0.5367,0.62992,0.3617,1.25751,2.35804,1.07522,1.16467,0.001604,0.001604,0.001604
82,1394.08,1.09118,1.97458,0.95094,1.06866,0.54063,0.58305,0.62041,0.38247,0.53321,0.57638,0.60116,0.32835,1.23579,2.37301,1.15812,1.14318,0.00159905,0.00159905,0.00159905
83,1409.14,1.05979,1.81845,0.9115,1.0289,0.52517,0.63761,0.59848,0.36473,0.52634,0.62844,0.57838,0.31135,1.26943,2.37083,1.15849,1.18032,0.0015941,0.0015941,0.0015941
84,1428.69,1.11831,2.02451,0.96131,1.06178,0.54007,0.61468,0.58519,0.36864,0.53446,0.61927,0.57034,0.31821,1.21372,2.25348,1.19384,1.15494,0.00158915,0.00158915,0.00158915
85,1441.81,1.04569,1.97338,1.01151,1.08538,0.54574,0.58716,0.62665,0.40573,0.54148,0.58257,0.61104,0.35624,1.22503,2.2924,1.19075,1.16228,0.0015842,0.0015842,0.0015842
86,1458.42,1.03655,1.82131,0.91488,1.03761,0.56203,0.61009,0.65097,0.42037,0.55781,0.6055,0.63595,0.36464,1.2604,2.32695,1.09374,1.18184,0.00157925,0.00157925,0.00157925
87,1469.17,1.09118,2.00025,1.00587,1.08804,0.63581,0.48852,0.61074,0.39007,0.64258,0.49482,0.60002,0.34382,1.28421,2.37009,1.13558,1.20002,0.0015743,0.0015743,0.0015743
88,1482.87,1.11052,1.86467,0.94497,1.03936,0.52145,0.58982,0.60873,0.39394,0.51628,0.58257,0.59004,0.33977,1.26092,2.46306,1.14883,1.18764,0.00156935,0.00156935,0.00156935
89,1492.56,1.06776,1.88029,0.93103,1.04223,0.45863,0.67617,0.6167,0.38717,0.45464,0.66055,0.59347,0.33113,1.25044,2.40762,1.53635,1.148,0.0015644,0.0015644,0.0015644
90,1505.7,1.0828,1.88782,0.95765,1.0461,0.4975,0.61009,0.61731,0.39578,0.48628,0.59633,0.58946,0.33478,1.22079,2.4192,1.5499,1.13082,0.00155945,0.00155945,0.00155945
91,1526.09,1.06846,1.82555,0.92997,1.04864,0.66547,0.50189,0.61809,0.39948,0.66547,0.50189,0.60795,0.3384,1.211,2.42722,1.3088,1.17786,0.0015545,0.0015545,0.0015545
92,1541.98,1.0311,1.86194,0.92131,1.06989,0.65274,0.38802,0.50011,0.31429,0.62238,0.38532,0.47383,0.28039,1.2571,2.41459,1.54168,1.19313,0.00154955,0.00154955,0.00154955
93,1561.14,1.08256,1.90144,1.02524,1.03055,0.68557,0.50917,0.64424,0.40216,0.62329,0.51611,0.61819,0.35636,1.23057,2.45882,1.28188,1.15062,0.0015446,0.0015446,0.0015446
94,1581.06,1.00979,1.80726,0.87156,1.03712,0.5872,0.6055,0.65452,0.41981,0.58408,0.60092,0.63276,0.36761,1.18813,2.5515,1.41567,1.12407,0.00153965,0.00153965,0.00153965
95,1602.36,1.07913,1.97085,1.00245,1.05254,0.57396,0.56881,0.63536,0.42019,0.57056,0.5607,0.61668,0.36886,1.18349,2.56601,1.32962,1.1097,0.0015347,0.0015347,0.0015347
96,1614.81,1.02325,1.77639,0.83727,1.00871,0.55774,0.54587,0.60463,0.39863,0.56426,0.55046,0.59282,0.36875,1.21552,2.46632,1.36171,1.1422,0.00152975,0.00152975,0.00152975
97,1635.58,0.99766,1.81287,0.86919,0.99073,0.55731,0.55505,0.60649,0.4141,0.55731,0.55505,0.59263,0.36542,1.18091,2.42675,1.58663,1.11433,0.0015248,0.0015248,0.0015248
98,1649.81,1.01419,1.82792,0.88058,1.00381,0.50996,0.61468,0.62402,0.42179,0.51927,0.61009,0.61689,0.37777,1.18699,2.36908,1.2918,1.11888,0.00151985,0.00151985,0.00151985
99,1661.32,1.00527,1.70063,0.85275,1.00823,0.58502,0.57798,0.627,0.41485,0.57857,0.57339,0.61552,0.36296,1.21979,2.41754,1.13464,1.14408,0.0015149,0.0015149,0.0015149
100,1673.25,0.95834,1.70672,0.84575,1.01902,0.63109,0.45413,0.57449,0.37703,0.54939,0.48624,0.56525,0.32506,1.25344,2.5177,1.22933,1.16505,0.00150995,0.00150995,0.00150995
101,1683.07,1.00696,1.78334,0.92376,1.03144,0.52289,0.58821,0.62244,0.4105,0.59601,0.52752,0.61225,0.35192,1.2191,2.39789,1.10645,1.14266,0.001505,0.001505,0.001505
102,1700.62,1.04255,1.91305,0.92207,1.03679,0.60077,0.54128,0.60548,0.39743,0.59699,0.54361,0.58325,0.33741,1.1742,2.34815,1.15939,1.10436,0.00150005,0.00150005,0.00150005
103,1718.52,1.02441,1.75781,0.81951,0.99586,0.48223,0.58103,0.55041,0.36699,0.47589,0.58716,0.54086,0.30783,1.17346,2.35756,1.30123,1.10893,0.0014951,0.0014951,0.0014951
104,1742.52,0.96594,1.71981,0.78101,0.9771,0.48779,0.60092,0.53608,0.35478,0.49349,0.57206,0.52544,0.28613,1.19171,2.33857,1.59122,1.12144,0.00149015,0.00149015,0.00149015
105,1754.14,0.99113,1.77304,0.92474,1.00988,0.50305,0.63303,0.57833,0.36936,0.49576,0.62385,0.56219,0.31033,1.23917,2.38766,1.39313,1.14935,0.0014852,0.0014852,0.0014852
106,1764.93,0.9766,1.7218,0.85515,1.00332,0.56234,0.56583,0.58412,0.37123,0.56386,0.55046,0.57298,0.322,1.29428,2.43471,1.18291,1.17011,0.00148025,0.00148025,0.00148025
107,1787.52,1.01753,1.79493,0.85978,0.99412,0.49309,0.59347,0.57393,0.36345,0.49928,0.61468,0.56807,0.32555,1.26165,2.44712,1.18716,1.17675,0.0014753,0.0014753,0.0014753
108,1808.3,0.95743,1.7055,0.87131,1.00518,0.52481,0.5367,0.57964,0.37925,0.52727,0.54746,0.58137,0.33806,1.26669,2.45569,1.24125,1.18243,0.00147035,0.00147035,0.00147035
109,1824.79,1.00561,1.68601,0.82443,0.98436,0.52995,0.57798,0.59066,0.38596,0.52574,0.57339,0.57522,0.33831,1.24496,2.45248,1.28211,1.18032,0.0014654,0.0014654,0.0014654
110,1836.61,0.90761,1.64722,0.8377,1.01425,0.50796,0.62036,0.59703,0.39845,0.51171,0.62494,0.59454,0.3478,1.23374,2.38275,1.1949,1.16748,0.00146045,0.00146045,0.00146045
111,1845.91,0.94615,1.70556,0.87928,0.99536,0.52513,0.56422,0.59519,0.39572,0.53456,0.57339,0.59193,0.3395,1.2566,2.3484,1.19185,1.17545,0.0014555,0.0014555,0.0014555
112,1863.54,0.97454,1.71066,0.82849,1.0108,0.48285,0.58716,0.58451,0.38584,0.47806,0.57798,0.56386,0.3307,1.22009,2.34089,1.35482,1.15991,0.00145055,0.00145055,0.00145055
113,1872.24,1.00137,1.84171,0.90225,1.04351,0.54352,0.52294,0.58869,0.38195,0.58803,0.4633,0.56436,0.33721,1.22626,2.33764,1.2695,1.16434,0.0014456,0.0014456,0.0014456
114,1880.82,1.0091,1.80937,0.88833,1.03125,0.55203,0.46353,0.53211,0.35,0.54657,0.45895,0.516,0.30392,1.24965,2.4471,1.29772,1.17069,0.00144065,0.00144065,0.00144065
115,1893.71,1.02715,1.89117,0.95066,1.06394,0.46798,0.42661,0.48982,0.31734,0.46246,0.42202,0.47115,0.26182,1.25093,2.57785,1.39664,1.16219,0.0014357,0.0014357,0.0014357
116,1907.08,0.95146,1.59931,0.82427,1.00031,0.40557,0.50077,0.46304,0.29663,0.39735,0.48624,0.43466,0.23671,1.28123,2.58878,1.36154,1.17514,0.00143075,0.00143075,0.00143075
117,1922.54,0.9213,1.63382,0.82005,0.9899,0.61464,0.41284,0.53137,0.34615,0.59969,0.40367,0.50704,0.28356,1.2604,2.59848,1.29214,1.152,0.0014258,0.0014258,0.0014258
118,1939.18,0.9463,1.72107,0.83457,0.9916,0.68852,0.41573,0.56963,0.3772,0.68092,0.41114,0.54096,0.30736,1.23513,2.59856,1.237,1.14023,0.00142085,0.00142085,0.00142085
119,1952.6,0.94937,1.74799,0.84494,0.98923,0.71251,0.44037,0.59127,0.38763,0.71993,0.44495,0.57376,0.33227,1.25747,2.61814,1.17804,1.16665,0.0014159,0.0014159,0.0014159
120,1968.44,0.94058,1.64152,0.8146,0.99907,0.69247,0.45413,0.59996,0.39379,0.66161,0.46637,0.58435,0.33561,1.24169,2.51719,1.14919,1.16845,0.00141095,0.00141095,0.00141095
121,1985.87,0.9348,1.52435,0.80494,0.96715,0.57414,0.50917,0.59382,0.38673,0.59092,0.50359,0.5768,0.32955,1.22582,2.49604,1.17967,1.15672,0.001406,0.001406,0.001406
